Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Core (Mode B)","Core|Mode B","bCoreThrowChargeClampsAtFull","Throw Charge Clamps At Full [v13 §6]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Does holding PAST the charge time add anything? [ASSUMPTION] true - it clamps at full. The user said one second reaches ""the current core throw momentum"" and said nothing about beyond, so the safe reading is that a second is the maximum and the current throw is still the strongest throw in the game. Clamping also keeps the charge bar honest: a bar that fills and then keeps mattering is a bar that lies. Set false to ..."
"Core (Mode B)","Core|Mode B","CoreThrowChargeMaxFraction","Throw Charge Max (x full, clamp off) [v13 §6]","1","x full","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The ceiling on t when the clamp above is OFF, as a multiple of a full charge. IGNORED while bCoreThrowChargeClampsAtFull is true. 1.0 - the default - makes the two settings agree, so flipping the clamp off changes nothing until this is also raised. That is deliberate: an overcharge that appears the moment somebody unticks a box is an overcharge nobody chose. At 1.5 a 1.5 s hold throws at 1.5x CoreThrowSpeed, and the ... [allowed range: 1.0 to 4.0]"
"Core (Mode B)","Core|Mode B","CoreThrowFullChargeAutoReleaseSeconds","Full-Charge Auto-Release Window (s, 0 = off) [v28 §7]","0.6","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","*** SPEC v28 §7 - HOW LONG A FULL CHARGE MAY BE SAT ON BEFORE THE SERVER THROWS IT. *** Verbatim: ""A player can hold a core at full throw charge indefinitely. Make a second little red ring which fills on the inside of the green one on a .6seconds timer. This timer should start right when throw charge reaches full. When the second timer completes, the core is released at full charge automatically, if a player doesn't ... [allowed range: 0.0 to 10.0]"
"Core (Mode B)","Core|Mode B","CoreThrowGravityScale","Throw Gravity Scale (before weight) [mode B]","0.55","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","World gravity multiplier applied to a Core in flight and rolling loose, BEFORE weight. Below 1 because the field is 33600 uu long: at full gravity a throw that a player can aim ploughs into the floor inside a couple of thousand uu, which turns every throw into a short dribble and makes interception trivial. 0.55 lets a throw cross useful ground while still arcing enough to be read and cut off. UNCHANGED THIS PASS, ... [allowed range: 0.0 to 4.0]"
"Core (Mode B)","Core|Mode B","CoreMassScale","Core Weight (mass scale, 1 = pre-v5) [mode B]","1.8","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","MODE B ONLY. HOW HEAVY THE CORE IS IN FLIGHT, relative to the light Core that shipped before spec v5. 1.0 is exactly the old flight. THIS IS THE ""WEIGHT"" KNOB (spec v5 §4). Verbatim: ""For game mode b ONLY, increase the weight of the core"". WHY A SCALE AND NOT A MASS IN KILOGRAMS. The Core has no rigid body and no projectile movement component - ATraceCore integrates it by hand - so there is no engine mass field for ... [allowed range: 0.25 to 6.0]"
"Core (Mode B)","Core|Mode B","CoreThrowerPickupLockoutSeconds","Thrower Re-Pickup Lockout (s) [mode B]","0.35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds the THROWER alone may not re-take their own throw. Everybody else may take it on the first frame - ""the first player to contact the core should pick it up"" is unconditional for all nine other players. Without this a throw is a no-op: the Core leaves from inside the thrower's own pickup radius, so the thrower's proximity poll re-takes it on the very next tick and the throw looks like it never happened. [allowed range: 0.0 to 5.0]"
"Core (Mode B)","Core|Mode B","CoreThrowCooldownSeconds","Throw Cooldown After Pickup (s) [mode B]","0.35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds after TAKING the Core before it may be thrown again. Stops a pickup and a throw landing on the same frame, which reads as the Core bouncing off a player rather than being caught, and lets an interception be seen before it is undone. [allowed range: 0.0 to 10.0]"
"Core (Mode B)","Core|Mode B","CoreThrowBounce","Loose Core Bounce [mode B]","0.35","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Restitution of a loose Core against world geometry: 0 = dead stop on contact, 1 = perfect bounce. Low by default so a missed throw settles somewhere a player can contest rather than pinballing off the banks into a corner. [allowed range: 0.0 to 1.0]"
"Core (Mode B)","Core|Mode B","CorePickupRadius","Pickup Radius (uu) [mode B]","120","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Radius, uu, inside which a player takes possession of a loose Core. ""The first player to contact the core should pick it up"" - enemy or teammate, whoever gets there first. Comfortably wider than the character capsule (34 uu) because this is a contact test against a moving object sampled once a frame: at 3000 uu/s a Core travels 50 uu between frames at 60Hz, so a radius near the capsule's would let a thrown Core ... [allowed range: 10.0 to 1000.0]"
"Core (Mode B)","Core|Mode B","CoreLooseResetSeconds","Loose Core Reset (s, 0 = never) [mode B]","12","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds a Core may lie untouched on the ground before it resets to a neutral position. 0 disables the reset and lets it lie there forever. [ASSUMPTION] from spec v4 §7: ""a thrown Core that lands untouched stays live on the ground and is picked up by first contact; add a reset timer so it cannot be lost forever."" The failure it exists to prevent is a Core thrown out of bounds, into a gap in the arena geometry, or ... [allowed range: 0.0 to 120.0]"
"Core (Mode B)","Core|Mode B","CoreCatchRadius","Catch Zone Radius (uu) [mode B]","450","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Radius, uu, of the invisible catch zone around EVERY player. A loose Core entering it is steered toward that player. 0 disables the magnet. Steers DIRECTION ONLY - speed is preserved, so this makes a near-miss into a catch without making the Core faster or slower than the throw that produced it. Sized well above CorePickupRadius (120): the pickup radius is where possession changes, this is the funnel that feeds it. ... [allowed range: 0.0 to 3000.0]"
"Core (Mode B)","Core|Mode B","CoreCatchCurveStrength","Catch Zone Curve Strength [mode B]","6","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How hard the catch zone bends the Core, as an exponential approach rate (frame-rate independent). 0 disables the magnet outright; the pull already falls off to zero at the edge of the zone, so this scales the curve at point-blank range rather than at the boundary. Too high and a throw at open ground snaps sideways into whoever is nearest, which reads as aim assist rather than a catch. Sane range 3 to 10. [allowed range: 0.0 to 30.0]"
"Core (Mode B)","Core|Mode B","CoreCatchThrowerLockoutSeconds","Catch Zone Thrower Lockout (s) [mode B]","0.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds the THROWER alone is excluded from their own catch zone. Without it a throw curves straight back into the hands it left and the throw looks like it never happened - the same failure CoreThrowerPickupLockoutSeconds exists to prevent, one step earlier in the chain. Every other player, friend or enemy, is magnetised from the first frame: interception is a feature (spec v6 §4.1 [ASSUMPTION]). [allowed range: 0.0 to 5.0]"
"Core (Mode B)","Core|Mode B","CoreCatchContestHysteresisUU","Catch Contest Hysteresis (uu) [v13 §5]","50","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v13 §5 - A CONTESTED MAGNET RESOLVES TO THE NEAREST PLAYER, and this is the number that stops it flickering. Verbatim: ""If the core is within the 'magnet' zone of two or more players from opposite teams, it should go to the player closest to the core."" THE RULE ITSELF NEEDS NO KNOB - nearest wins, full stop, and it is applied to ANY contested set rather than only to opposing teams (spec §5 [ASSUMPTION]: the ... [allowed range: 0.0 to 500.0]"
"Core (Mode B)","Core|Mode B","CoreSurfaceMaxSlopeDegrees","Surface Max Slope (deg) [mode B]","45","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v7 §4. The angle from straight up, in degrees, at which a surface stops being something the Core can come to rest ON and starts being a wall it must bounce OFF. Verbatim: ""Sometimes the core gets stuck up top of an object in gamemode b. This should also count as a turnover. Walls should not, the core should bounce off those."" The arena is generic static meshes, so ""is this a wall?"" has to come from geometry, ... [allowed range: 0.0 to 89.0]"
"Core (Mode B)","Core|Mode B","CoreLandingMinDescentDegrees","Landing Min Descent (deg) [v13 §8]","20","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v13 §8 - HOW STEEPLY THE CORE MUST ARRIVE FOR A CONTACT TO COUNT AS A LANDING. Verbatim: ""Sometimes the core is thrown and it turns over before it touches the ground."" THE DIAGNOSED CAUSE was that the contact test read, in full, `Normal.Z >= SurfaceUpNormalZ()`: ANY upward-facing normal was a landing. Every structure in this arena has a flat top and the corner coves are terraced into flat treads, so a Core ... [allowed range: 0.0 to 89.0]"
"Core (Mode B)","Core|Mode B","CoreTurnoverLockoutSeconds","Turnover Lockout (s) [v25 §2]","5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v25 §2. Seconds the team that DROPPED the Core is locked out of picking it up. For this window, and only this window: the OPPOSING team alone may pull the Core or run over it, and the beam wears their colour at CoreTurnoverBeamScale. When it expires the pull ability goes away and either team may take it by touch - which is exactly what a Core that was never turned over already does, so the window is cleared ... [allowed range: 0.0 to 60.0]"
"Core (Mode B)","Core|Mode B","CorePullHoldSeconds","Pull Hold (s) [v25 §2]","0.3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v25 §2. Seconds of CONTINUOUS right mouse + hover + line of sight that complete a pull. CONTINUOUS is the whole of it: losing the hover, losing line of sight or releasing the button CANCELS the fill outright and the next attempt starts from zero. It does not pause, and there is no credit carried across a blink - a pull that could be accumulated in fragments would let a player pull the Core through a wall by ... [allowed range: 0.0 to 10.0]"
"Core (Mode B)","Core|Mode B","CorePullAimConeDegrees","Pull Aim Cone (deg) [v25 §2]","4","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v25 §2. Half-angle of the cone that counts as ""hovering the mouse over the core"" at range. The pull's hover test is the same shape as the pass's (PassAimConeDegrees / PassAimSlack) and for the same reason: EITHER the aim is inside this cone OR the aim ray passes within CorePullAimSlackUU of the orb. A pure ray test is unusable at range - the drawn orb is 20 uu across and subtends 0.14 degrees at 8000 uu - and a ... [allowed range: 0.0 to 45.0]"
